File,Line,Index,Context
wiki\Checkerspot_(magazine).html,79,12,d><i>This science and
wiki\Checkerspot_(magazine).html,124,1734,egory:Science_and_tec
wiki\Checkerspot_(magazine).html,124,1789,egory:Science and tec
wiki\Checkerspot_(magazine).html,124,1828,"tubs"">Science and tec"
wiki\Chestnut_pie.html,107,466,nd men of science</i>
wiki\Chestnut_pie.html,107,883,nd+men+of+science&amp
wiki\Chief_Justice_of_New_Zealand.html,307,40,political_science#Pol
wiki\Chief_Justice_of_New_Zealand.html,307,96,"political science"">Ot"
wiki\Christine_Gardner.html,6,847,an social sciences wr
wiki\Christine_Gardner.html,6,1305,"i"",""Women science wri"
wiki\Christine_Gardner.html,89,809,"y_(social_science)"" t"
wiki\Christine_Gardner.html,89,843,"y (social science)"">i"
wiki\Christine_Gardner.html,159,1498,ocial_sciences_writer
wiki\Christine_Gardner.html,159,1548,ocial sciences writer
wiki\Christine_Gardner.html,159,1582,ocial sciences writer
wiki\Christine_Gardner.html,159,3660,Women_science_writers
wiki\Christine_Gardner.html,159,3699,Women science writers
wiki\Christine_Gardner.html,159,3722,Women science writers
wiki\Church_of_the_SubGenius.html,154,149, American science fic
wiki\Church_of_the_SubGenius.html,281,106,ubGenius: Science Fic
wiki\Church_of_the_SubGenius.html,281,703,Genius%3A+Science+Fic
wiki\City_of_Mandaluyong_Science_High_School.html,4,27,ndaluyong Science Hig
wiki\City_of_Mandaluyong_Science_High_School.html,6,184,ndaluyong_Science_Hig
wiki\City_of_Mandaluyong_Science_High_School.html,6,236,ndaluyong Science Hig
wiki\City_of_Mandaluyong_Science_High_School.html,6,774,"ameters"",""Science hig"
wiki\City_of_Mandaluyong_Science_High_School.html,6,816,"ippines"",""Science hig"
wiki\City_of_Mandaluyong_Science_High_School.html,6,1328,ndaluyong_Science_Hig
wiki\City_of_Mandaluyong_Science_High_School.html,16,102,ndaluyong_Science_Hig
wiki\City_of_Mandaluyong_Science_High_School.html,17,105,ndaluyong_Science_Hig
wiki\City_of_Mandaluyong_Science_High_School.html,18,116,ndaluyong_Science_Hig
